brand,listing_count,pct_of_total,ml_eligible_count,ml_eligible_pct,median_asking_price,mean_asking_price,min_asking_price,max_asking_price,is_low_sample,sample_flag
Bajaj,38,22.22,24,63.16,448000.0,499483.87,169000.0,1100000.0,False,Sufficient Sample
Honda,20,11.7,15,75.0,10225000.0,11758437.5,1850000.0,26200000.0,False,Sufficient Sample
Daihatsu,15,8.77,11,73.33,6237500.0,6352500.0,2075000.0,13750000.0,False,Sufficient Sample
Mahindra,15,8.77,9,60.0,4500000.0,4160909.09,3000000.0,5795000.0,False,Sufficient Sample
Mitsubishi,11,6.43,4,36.36,3250000.0,3245000.0,1390000.0,5400000.0,False,Sufficient Sample
Ashok-Leyland,7,4.09,5,71.43,2815000.0,3146666.67,2300000.0,4500000.0,False,Sufficient Sample
Isuzu,6,3.51,3,50.0,2212500.0,6868750.0,1250000.0,21800000.0,False,Sufficient Sample
Hyundai,5,2.92,3,60.0,4175000.0,3862500.0,2900000.0,4200000.0,False,Sufficient Sample
Mazda,5,2.92,2,40.0,3265000.0,2755000.0,1050000.0,3950000.0,False,Sufficient Sample
BMW,4,2.34,3,75.0,53500000.0,89766666.67,20800000.0,195000000.0,True,Low Sample (<5)
CAT,4,2.34,4,100.0,4550000.0,5125000.0,2900000.0,8500000.0,True,Low Sample (<5)
Hitachi,4,2.34,4,100.0,3950000.0,7518750.0,3275000.0,18900000.0,True,Low Sample (<5)
IHI,4,2.34,2,50.0,1700000.0,1325833.33,327500.0,1950000.0,True,Low Sample (<5)
Mercedes-Benz,3,1.75,3,100.0,18000000.0,20266666.67,17500000.0,25300000.0,True,Low Sample (<5)
Ford,3,1.75,3,100.0,16800000.0,17133333.33,14800000.0,19800000.0,True,Low Sample (<5)
Audi,3,1.75,2,66.67,12500000.0,12500000.0,12500000.0,12500000.0,True,Low Sample (<5)
Kia,3,1.75,3,100.0,11850000.0,9760000.0,5140000.0,12290000.0,True,Low Sample (<5)
BYD,2,1.17,2,100.0,22475000.0,22475000.0,21950000.0,23000000.0,True,Low Sample (<5)
JCB,2,1.17,1,50.0,9500000.0,9500000.0,9500000.0,9500000.0,True,Low Sample (<5)
Nissan,2,1.17,0,0.0,8450000.0,8450000.0,8450000.0,8450000.0,True,Low Sample (<5)
Datsun,2,1.17,2,100.0,3300000.0,3300000.0,3300000.0,3300000.0,True,Low Sample (<5)
Foton,2,1.17,2,100.0,1487500.0,1487500.0,1475000.0,1500000.0,True,Low Sample (<5)
Baic,1,0.58,1,100.0,12900000.0,12900000.0,12900000.0,12900000.0,True,Low Sample (<5)
DFSK,1,0.58,1,100.0,10000000.0,10000000.0,10000000.0,10000000.0,True,Low Sample (<5)
Chevrolet,1,0.58,1,100.0,3050000.0,3050000.0,3050000.0,3050000.0,True,Low Sample (<5)
Eicher,1,0.58,1,100.0,2600000.0,2600000.0,2600000.0,2600000.0,True,Low Sample (<5)
Aston,1,0.58,1,100.0,1620000.0,1620000.0,1620000.0,1620000.0,True,Low Sample (<5)
Changan,1,0.58,0,0.0,1350000.0,1350000.0,1350000.0,1350000.0,True,Low Sample (<5)
FAW,1,0.58,1,100.0,1350000.0,1350000.0,1350000.0,1350000.0,True,Low Sample (<5)
Acura,1,0.58,0,0.0,725000.0,725000.0,725000.0,725000.0,True,Low Sample (<5)
Chery,1,0.58,0,0.0,,,,,True,Low Sample (<5)
DAF,1,0.58,0,0.0,,,,,True,Low Sample (<5)
Land-Rover,1,0.58,0,0.0,,,,,True,Low Sample (<5)
