listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12289469,https://riyasewana.com/buy/bmw-316i-sale-batticaloa-12289469,BMW 316i 2015 Car (Used),Car,BMW,316i,2015,2015,,132500,195000000,Petrol,Automatic,1600,Registered (Used),Batticaloa,Batticaloa,"2026 Sep 09, 10:25 pm",riyasewana,2026-09-09T17:08:29.798242+00:00,[],True
12283478,https://riyasewana.com/buy/bmw-318i-m-sale-malabe-12283478,BMW 318i M Sport Estoril Blue 2018 Car (Used),Car,BMW,318i M Sport Estoril Blue,2018,2018,,35000,,Petrol,Automatic,1500,Registered (Used),Malabe,Colombo,"2026 Sep 07, 9:02 pm",riyasewana,2026-09-09T17:08:31.457667+00:00,"[""missing_price""]",False
12294989,https://riyasewana.com/buy/byd-sealion-6-sale-dehiwala-mount-lavinia-12294989,BYD Sealion 6 2025 Car (Used),Car,BYD,Sealion 6,2025,2025,,25000,23000000,Hybrid,Automatic,1500,Registered (Used),Dehiwala-Mount-Lavinia,Colombo,"2026 Sep 09, 10:36 pm",riyasewana,2026-09-09T17:08:33.124864+00:00,[],True
12294912,https://riyasewana.com/buy/chevrolet-aveo-sale-kaduwela-12294912,Chevrolet Aveo 2008 Car (Used),Car,Chevrolet,Aveo,2008,2008,,23450,3050000,Petrol,Manual,1400,Registered (Used),Kaduwela,Colombo,"2026 Sep 09, 10:09 pm",riyasewana,2026-09-09T17:08:35.167696+00:00,[],True
12294917,https://riyasewana.com/buy/honda-city-sale-kandy-12294917,Honda City 2003 Car (Used),Car,Honda,City,2003,2003,,131500,,Petrol,Manual,1500,Registered (Used),Kandy,Kandy,"2026 Sep 09, 10:11 pm",riyasewana,2026-09-09T17:08:36.828079+00:00,"[""missing_price""]",False
12294951,https://riyasewana.com/buy/honda-civic-sale-kottawa-12294951,Honda Civic 2003 Car (Used),Car,Honda,Civic,2003,2003,,228000,5550000,Petrol,Automatic,1590,Registered (Used),Kottawa,Colombo,"2026 Sep 09, 10:25 pm",riyasewana,2026-09-09T17:08:38.483143+00:00,[],True
12294874,https://riyasewana.com/buy/honda-fit-gd1-sale-piliyandala-12294874,Honda Fit GD1 2006 Car (Used),Car,Honda,Fit GD1,2006,2006,,203000,4750000,Petrol,Automatic,1300,Registered (Used),Piliyandala,Colombo,"2026 Sep 09, 9:54 pm",riyasewana,2026-09-09T17:08:40.150798+00:00,[],True
12294888,https://riyasewana.com/buy/honda-fit-gp5-sale-nuwara-eliya-12294888,Honda Fit GP5 2015 Car (Used),Car,Honda,Fit GP5,2015,2015,,164000,8650000,Petrol,Automatic,1500,Registered (Used),Nuwara-Eliya,Nuwara-Eliya,"2026 Sep 09, 10:01 pm",riyasewana,2026-09-09T17:08:41.810078+00:00,[],True
12294988,https://riyasewana.com/buy/kia-picanto-sale-kalutara-12294988,Kia Picanto 2016 Car (Used),Car,Kia,Picanto,2016,2016,,140000,5140000,Petrol,Manual,1000,Registered (Used),Kalutara,Kalutara,"2026 Sep 09, 10:36 pm",riyasewana,2026-09-09T17:08:44.235514+00:00,[],True
12294977,https://riyasewana.com/buy/mazda-familia-sale-ratnapura-12294977,Mazda Familia 1986 Car (Used),Car,Mazda,Familia,1986,1986,,11111,1050000,Petrol,Manual,1400,Registered (Used),Ratnapura,Ratnapura,"2026 Sep 09, 10:33 pm",riyasewana,2026-09-09T17:08:45.900884+00:00,"[""suspicious_mileage_pattern""]",False
