listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12318546,https://riyasewana.com/buy/acura-acura-sale-kandy-12318546,Acura Acura 2018 Heavy-Duty (Used),Heavy-Duty,Acura,Acura,2018,2018,,111111,725000,Diesel,Manual,1222,Registered (Used),Kandy,Kandy,"2026 Sep 13, 6:48 pm",riyasewana,2026-09-16T16:06:36.874823+00:00,"[""suspicious_mileage_pattern""]",False
12316958,https://riyasewana.com/buy/ashok-leyland-cincomax-sale-hambantota-12316958,Ashok-Leyland Cincomax 2006 Heavy-Duty (Used),Heavy-Duty,Ashok-Leyland,Cincomax,2006,2006,,12,2550000,Diesel,Manual,6450,Registered (Used),Hambantota,Hambantota,"2026 Sep 13, 12:53 pm",riyasewana,2026-09-16T16:06:38.550800+00:00,[],True
12335038,https://riyasewana.com/buy/cat-d4d-sale-kurunegala-12335038,CAT D4D 2008 Heavy-Duty (Used),Heavy-Duty,CAT,D4D,2008,2008,,1,2900000,Diesel,Manual,11,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 16, 5:05 pm",riyasewana,2026-09-16T16:06:40.227972+00:00,"[""implausible_engine_cc""]",False
12328421,https://riyasewana.com/buy/daf-af-88-sale-anuradapura-12328421,DAF AF 88 2024 Heavy-Duty (Used),Heavy-Duty,DAF,AF 88,2024,2024,,1,,Diesel,Manual,,Registered (Used),Anuradapura,Anuradapura,"2026 Sep 15, 2:34 pm",riyasewana,2026-09-16T16:06:41.922634+00:00,"[""missing_price""]",False
12319846,https://riyasewana.com/buy/hitachi-35-sale-matara-12319846,Hitachi 35 2022 Heavy-Duty (Used),Heavy-Duty,Hitachi,35,2022,2022,,3000,4300000,Diesel,Manual,,Registered (Used),Matara,Matara,"2026 Sep 14, 7:38 am",riyasewana,2026-09-16T16:06:43.593040+00:00,[],True
12334450,https://riyasewana.com/buy/hitachi-zx200-5-sale-kelaniya-12334450,Hitachi ZX200-5 2019 Heavy-Duty Unregistered (Recondition),Heavy-Duty,Hitachi,ZX200-5,2019,2019,,5192,18900000,Diesel,Automatic,5900,Unregistered (Recondition),Kelaniya,Gampaha,"2026 Sep 16, 3:01 pm",riyasewana,2026-09-16T16:06:45.381208+00:00,[],True
12326948,https://riyasewana.com/buy/ihi-30-sale-kandy-12326948,IHI 30 2024 Heavy-Duty (Used),Heavy-Duty,IHI,30,2024,2024,,,,Diesel,Manual,,Registered (Used),Kandy,Kandy,"2026 Sep 15, 10:50 am",riyasewana,2026-09-16T16:06:47.042179+00:00,"[""missing_price"", ""missing_mileage""]",False
12329621,https://riyasewana.com/buy/ihi-30x-sale-kurunegala-12329621,IHI 30x 2022 Heavy-Duty (Used),Heavy-Duty,IHI,30x,2022,2022,,1244,327500,Diesel,Manual,2450,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 15, 6:40 pm",riyasewana,2026-09-16T16:06:48.756097+00:00,[],True
12320059,https://riyasewana.com/buy/jcb-21-power-sale-galle-12320059,JCB 21 Power Shift 2005 Heavy-Duty (Used),Heavy-Duty,JCB,21 Power Shift,2005,2005,,5000,9500000,Diesel,Automatic,,Registered (Used),Galle,Galle,"2026 Sep 14, 8:09 am",riyasewana,2026-09-16T16:06:50.431732+00:00,[],True
12317434,https://riyasewana.com/buy/jcb-21-sale-matara-12317434,JCB 21 2008 Heavy-Duty (Used),Heavy-Duty,JCB,21,2008,2008,,1,,Diesel,Manual,2800,Registered (Used),Matara,Matara,"2026 Sep 13, 2:06 pm",riyasewana,2026-09-16T16:06:52.241523+00:00,"[""missing_price""]",False
