listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12335440,https://riyasewana.com/buy/ashok-leyland-comet-super-sale-kegalle-12335440,Ashok-Leyland Comet Super 1996 Lorry (Used),Lorry,Ashok-Leyland,Comet Super,1996,1996,,111111,2300000,Diesel,Manual,6000,Registered (Used),Kegalle,Galle,"2026 Sep 16, 6:23 pm",riyasewana,2026-09-16T16:06:55.977612+00:00,"[""suspicious_mileage_pattern""]",False
12335486,https://riyasewana.com/buy/ashok-leyland-dost-sale-kelaniya-12335486,Ashok-Leyland Dost 2020 Lorry (Used),Lorry,Ashok-Leyland,Dost,2020,2020,2020,126000,3050000,Diesel,Manual,1478,Registered (Used),Kelaniya,Gampaha,"2026 Sep 16, 6:35 pm",riyasewana,2026-09-16T16:06:57.644672+00:00,[],True
12336121,https://riyasewana.com/buy/ashok-leyland-leyland-sale-matugama-12336121,Ashok-Leyland Leyland 2010 Lorry (Used),Lorry,Ashok-Leyland,Leyland,2010,2010,,12856,4500000,Diesel,Manual,6000,Registered (Used),Matugama,Matugama,"2026 Sep 16, 9:00 pm",riyasewana,2026-09-16T16:06:59.354126+00:00,[],True
12336146,https://riyasewana.com/buy/changan-sc1030h-sale-colombo-12336146,Changan SC1030H 2007 Lorry (Used),Lorry,Changan,SC1030H,2007,2007,,,1350000,Diesel,Manual,2672,Registered (Used),Colombo,Colombo,"2026 Sep 16, 9:06 pm",riyasewana,2026-09-16T16:07:01.097889+00:00,"[""missing_mileage""]",False
12336159,https://riyasewana.com/buy/daihatsu-hijet-sale-kandy-12336159,Daihatsu Hijet 2004 Lorry (Used),Lorry,Daihatsu,Hijet,2004,2004,,1,,Petrol,Manual,650,Registered (Used),Kandy,Kandy,"2026 Sep 16, 9:09 pm",riyasewana,2026-09-16T16:07:02.800699+00:00,"[""missing_price""]",False
12336193,https://riyasewana.com/buy/daihatsu-hijet-sale-kandy-12336193,Daihatsu Hijet 2000 Lorry (Used),Lorry,Daihatsu,Hijet,2000,2000,,1,,Petrol,Manual,650,Registered (Used),Kandy,Kandy,"2026 Sep 16, 9:20 pm",riyasewana,2026-09-16T16:07:04.542657+00:00,"[""missing_price""]",False
12335662,https://riyasewana.com/buy/daihatsu-hijet-sale-matara-12335662,Daihatsu Hijet 2003 Lorry (Used),Lorry,Daihatsu,Hijet,2003,2003,,120000,2275000,Petrol,Manual,650,Registered (Used),Matara,Matara,"2026 Sep 16, 7:10 pm",riyasewana,2026-09-16T16:07:06.245537+00:00,[],True
12336083,https://riyasewana.com/buy/eicher-c-sale-minuwangoda-12336083,Eicher C 2000 Lorry (Used),Lorry,Eicher,C,2000,2000,,345258,2600000,Diesel,Manual,4750,Registered (Used),Minuwangoda,Minuwangoda,"2026 Sep 16, 8:49 pm",riyasewana,2026-09-16T16:07:07.958696+00:00,[],True
12335402,https://riyasewana.com/buy/foton-double-sale-maharagama-12335402,Foton Double 2012 Lorry (Used),Lorry,Foton,Double,2012,2012,,76200,1475000,Diesel,Manual,2400,Registered (Used),Maharagama,Colombo,"2026 Sep 16, 6:15 pm",riyasewana,2026-09-16T16:07:09.661215+00:00,[],True
12335684,https://riyasewana.com/buy/foton-foton-sale-kurunegala-12335684,Foton Foton 2008 Lorry (Used),Lorry,Foton,Foton,2008,2008,,34691,1500000,Diesel,Manual,2540,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 16, 7:14 pm",riyasewana,2026-09-16T16:07:11.354827+00:00,[],True
