listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12294869,https://riyasewana.com/buy/bajaj-caliber-sale-colombo-12294869,Bajaj Caliber 2004 Motorbike (Used),Car,Bajaj,Caliber,2004,2004,,1,,,,115,Registered (Used),Colombo,Colombo,"2026 Sep 09, 9:51 pm",riyasewana,2026-09-09T17:09:17.968000+00:00,"[""missing_price""]",False
12294969,https://riyasewana.com/buy/bajaj-ct-100-sale-beruwala-12294969,Bajaj CT-100 2006 Motorbike (Used),Car,Bajaj,CT-100,2006,2006,,1111,220000,,,100,Registered (Used),Beruwala,Beruwala,"2026 Sep 09, 10:31 pm",riyasewana,2026-09-09T17:09:19.620968+00:00,"[""suspicious_mileage_pattern""]",False
12294934,https://riyasewana.com/buy/bajaj-ct-100-sale-kurunegala-12294934,Bajaj CT-100 2007 Motorbike (Used),Car,Bajaj,CT-100,2007,2007,2007,50000,255000,,,100,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 09, 10:19 pm",riyasewana,2026-09-09T17:09:21.316110+00:00,[],True
12294927,https://riyasewana.com/buy/bajaj-ct-100-sale-ratnapura-12294927,Bajaj CT-100 2024 Motorbike (Used),Car,Bajaj,CT-100,2024,2024,,23700,,,,100,Registered (Used),Ratnapura,Ratnapura,"2026 Sep 09, 10:14 pm",riyasewana,2026-09-09T17:09:23.027509+00:00,"[""missing_price""]",False
12294986,https://riyasewana.com/buy/bajaj-discover-125-sale-katunayake-12294986,Bajaj Discover 125 2007 Motorbike (Used),Car,Bajaj,Discover 125,2007,2007,,33525,208000,,,125,Registered (Used),Katunayake,Katunayake,"2026 Sep 09, 10:36 pm",riyasewana,2026-09-09T17:09:24.700863+00:00,[],True
12294933,https://riyasewana.com/buy/bajaj-discover-125-sale-matara-12294933,Bajaj Discover 125 2025 Motorbike (Used),Car,Bajaj,Discover 125,2025,2025,,40000,600000,,,125,Registered (Used),Matara,Matara,"2026 Sep 09, 10:19 pm",riyasewana,2026-09-09T17:09:26.406582+00:00,[],True
12294837,https://riyasewana.com/buy/bajaj-n160-sale-colombo-12294837,Bajaj N160 2025 Motorbike (Used),Car,Bajaj,N160,2025,2025,,10123,250000,,,160,Registered (Used),Colombo,Colombo,"2026 Sep 09, 9:37 pm",riyasewana,2026-09-09T17:09:28.139107+00:00,[],True
12294924,https://riyasewana.com/buy/bajaj-pulsar-135-sale-dompe-12294924,Bajaj Pulsar 135 2011 Motorbike (Used),Car,Bajaj,Pulsar 135,2011,2011,,138000,240000,,,135,Registered (Used),Dompe,Dompe,"2026 Sep 09, 10:14 pm",riyasewana,2026-09-09T17:09:29.819880+00:00,[],True
12294904,https://riyasewana.com/buy/bajaj-pulsar-150-sale-gampaha-12294904,Bajaj Pulsar 150 2009 Motorbike (Used),Car,Bajaj,Pulsar 150,2009,2009,,1,,,,150,Registered (Used),Gampaha,Gampaha,"2026 Sep 09, 10:06 pm",riyasewana,2026-09-09T17:09:31.530369+00:00,"[""missing_price""]",False
12294959,https://riyasewana.com/buy/bajaj-pulsar-ns200-sale-bandaragama-12294959,Bajaj Pulsar NS200 2018 Motorbike (Used),Car,Bajaj,Pulsar NS200,2018,2018,2018,65000,815000,,,200,Registered (Used),Bandaragama,Bandaragama,"2026 Sep 09, 10:26 pm",riyasewana,2026-09-09T17:09:33.220585+00:00,[],True
