listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12290244,https://riyasewana.com/buy/ford-raptor-ranger-sale-colombo-12290244,Ford Raptor Ranger F150 Modified 2017 Pickup (Used),Pickup,Ford,Raptor Ranger F150 Modified,2017,2017,,120000,16800000,Diesel,Manual,2209,Registered (Used),Colombo,Colombo,"2026 Sep 09, 7:57 am",riyasewana,2026-09-16T16:07:33.957841+00:00,[],True
12298781,https://riyasewana.com/buy/ford-raptor-sale-colombo-12298781,Ford Raptor 2017 Pickup (Used),Pickup,Ford,Raptor,2017,2017,,122000,19800000,Diesel,Automatic,3200,Registered (Used),Colombo,Colombo,"2026 Sep 16, 7:06 pm",riyasewana,2026-09-16T16:07:35.627870+00:00,[],True
12333551,https://riyasewana.com/buy/land-rover-defender-110-sale-colombo-12333551,Land-Rover Defender 110 TD5 1997 Pickup (Used),Pickup,Land-Rover,Defender 110 TD5,1997,1997,,100000,,Diesel,Manual,2500,Registered (Used),Colombo,Colombo,"2026 Sep 16, 12:29 pm",riyasewana,2026-09-16T16:07:37.309296+00:00,"[""missing_price""]",False
12334379,https://riyasewana.com/buy/mahindra-bolero-city-sale-gampaha-12334379,Mahindra Bolero City 2022 Pickup (Used),Pickup,Mahindra,Bolero City,2022,2022,,24667,,Diesel,Manual,2523,Registered (Used),Gampaha,Gampaha,"2026 Sep 16, 2:49 pm",riyasewana,2026-09-16T16:07:38.976979+00:00,"[""missing_price""]",False
12335526,https://riyasewana.com/buy/mahindra-bolero-maxi-sale-matara-12335526,Mahindra Bolero Maxi Truck 2016 Pickup (Used),Pickup,Mahindra,Bolero Maxi Truck,2016,2016,,143000,4675000,Diesel,Manual,2800,Registered (Used),Matara,Matara,"2026 Sep 16, 6:42 pm",riyasewana,2026-09-16T16:07:40.834281+00:00,[],True
12335058,https://riyasewana.com/buy/mahindra-bolero-maxx-sale-gampaha-12335058,Mahindra Bolero Maxx Pickup 2026 Pickup Brand New,Pickup,Mahindra,Bolero Maxx Pickup,2026,2026,,,5795000,Diesel,Manual,2523,Brand New,Gampaha,Gampaha,"2026 Sep 16, 5:08 pm",riyasewana,2026-09-16T16:07:42.523013+00:00,"[""missing_mileage""]",False
12335719,https://riyasewana.com/buy/mahindra-bolero-sale-embilipitiya-12335719,Mahindra Bolero 2015 Pickup (Used),Pickup,Mahindra,Bolero,2015,2015,,,,Diesel,Manual,,Registered (Used),Embilipitiya,Embilipitiya,"2026 Sep 16, 7:22 pm",riyasewana,2026-09-16T16:07:44.200792+00:00,"[""missing_price"", ""missing_mileage""]",False
12334374,https://riyasewana.com/buy/mahindra-bolero-sale-galle-12334374,Mahindra Bolero 2016 Pickup (Used),Pickup,Mahindra,Bolero,2016,2016,,53201,4525000,Diesel,Manual,2523,Registered (Used),Galle,Galle,"2026 Sep 16, 2:49 pm",riyasewana,2026-09-16T16:07:45.879885+00:00,[],True
12333739,https://riyasewana.com/buy/mahindra-bolero-sale-nattandiya-12333739,Mahindra Bolero 2015 Pickup (Used),Pickup,Mahindra,Bolero,2015,2015,,11580,4600000,Diesel,Manual,2100,Registered (Used),Nattandiya,Nattandiya,"2026 Sep 16, 12:55 pm",riyasewana,2026-09-16T16:07:47.561241+00:00,[],True
12335435,https://riyasewana.com/buy/mahindra-bolero-sale-nuwara-eliya-12335435,Mahindra Bolero 2016 Pickup (Used),Pickup,Mahindra,Bolero,2016,2016,,245000,4500000,Diesel,Manual,1111,Registered (Used),Nuwara-Eliya,Nuwara-Eliya,"2026 Sep 16, 6:22 pm",riyasewana,2026-09-16T16:07:49.268264+00:00,[],True
