listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12336170,https://riyasewana.com/buy/byd-sealion-6-sale-kalmunai-12336170,BYD Sealion 6 2025 SUV (Used),SUV,BYD,Sealion 6,2025,2025,,6000,21950000,Hybrid,Automatic,1500,Registered (Used),Kalmunai,Kalmunai,"2026 Sep 16, 9:12 pm",riyasewana,2026-09-16T16:07:52.957283+00:00,[],True
12294341,https://riyasewana.com/buy/daihatsu-rocky-g-sale-horana-12294341,Daihatsu Rocky G Premium HEV 2026 SUV Brand New,SUV,Daihatsu,Rocky G Premium HEV,2026,2026,,20,13750000,Hybrid,Automatic,1200,Brand New,Horana,Horana,"2026 Sep 16, 7:49 pm",riyasewana,2026-09-16T16:07:54.605848+00:00,[],True
12336234,https://riyasewana.com/buy/dfsk-glory-i-auto-sale-wattala-12336234,DFSK Glory I-Auto 2023 SUV (Used),SUV,DFSK,Glory I-Auto,2023,2023,,42000,10000000,Petrol,Automatic,1500,Registered (Used),Wattala,Gampaha,"2026 Sep 16, 9:33 pm",riyasewana,2026-09-16T16:07:57.348346+00:00,[],True
12335921,https://riyasewana.com/buy/honda-cr-v-high-sale-negombo-12335921,Honda CR-V HIGH SPEC 2023 SUV (Used),SUV,Honda,CR-V HIGH SPEC,2023,2023,,8500,26200000,Petrol,Automatic,1500,Registered (Used),Negombo,Gampaha,"2026 Sep 16, 8:10 pm",riyasewana,2026-09-16T16:07:59.040606+00:00,[],True
12335994,https://riyasewana.com/buy/honda-vezel-rs-sale-galle-12335994,Honda Vezel Rs 2018 SUV (Used),SUV,Honda,Vezel Rs,2018,2018,2017,126800,12100000,Petrol,Automatic,1500,Registered (Used),Galle,Galle,"2026 Sep 16, 8:25 pm",riyasewana,2026-09-16T16:08:00.699196+00:00,"[""registration_before_manufacture"", ""registration_precedes_manufacture""]",False
12335904,https://riyasewana.com/buy/honda-vezel-sale-kottawa-12335904,Honda Vezel 2014 SUV (Used),SUV,Honda,Vezel,2014,2014,,149000,9450000,Hybrid,Automatic,1500,Registered (Used),Kottawa,Colombo,"2026 Sep 16, 8:05 pm",riyasewana,2026-09-16T16:08:02.377660+00:00,[],True
12147292,https://riyasewana.com/buy/honda-vezel-z-sale-colombo-12147292,Honda Vezel Z Play Moonroof 2025 SUV Brand New,SUV,Honda,Vezel Z Play Moonroof,2025,2025,,8,,Hybrid,Automatic,1500,Brand New,Colombo,Colombo,"2026 Sep 16, 8:35 pm",riyasewana,2026-09-16T16:08:04.059078+00:00,"[""missing_price""]",False
11501053,https://riyasewana.com/buy/honda-vezel-z-sale-dehiwala-mount-lavinia-11501053,Honda Vezel Z Play Moonroof 2023 SUV (Used),SUV,Honda,Vezel Z Play Moonroof,2023,2023,,10000,20000000,Hybrid,Automatic,1500,Registered (Used),Dehiwala-Mount-Lavinia,Colombo,"2026 Sep 16, 8:07 pm",riyasewana,2026-09-16T16:08:05.775070+00:00,[],True
11807796,https://riyasewana.com/buy/honda-vezel-z-sale-ja-ela-11807796,Honda Vezel Z 2026 SUV Brand New,SUV,Honda,Vezel Z,2026,2026,,,18690000,Hybrid,Automatic,1500,Brand New,Ja-Ela,Gampaha,"2026 Sep 16, 8:21 pm",riyasewana,2026-09-16T16:08:07.495874+00:00,"[""missing_mileage""]",False
12336035,https://riyasewana.com/buy/honda-vezel-z-sale-kurunegala-12336035,Honda Vezel Z Premium 2025 SUV (Used),SUV,Honda,Vezel Z Premium,2025,2025,,4100,,Hybrid,Automatic,1490,Registered (Used),Kurunegala,Kurunegala,"2026 Sep 16, 8:37 pm",riyasewana,2026-09-16T16:08:09.177729+00:00,"[""missing_price""]",False
