listing_id,listing_url,title,category,brand,model,year,manufacture_year,registration_year,mileage,price,fuel_type,transmission,engine_cc,condition,location,district,ad_date,source,scraped_at,validation_issues,is_valid
12257127,https://riyasewana.com/buy/bajaj-2-stroke-sale-anuradapura-12257127,Bajaj 2 stroke 2006 Three Wheel (Used),Car,Bajaj,2 stroke,2006,2006,,1,,Petrol,Manual,,Registered (Used),Anuradapura,Anuradapura,"2026 Sep 03, 12:31 pm",riyasewana,2026-09-09T17:10:06.628035+00:00,"[""missing_price""]",False
12294681,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-12294681,Bajaj 2 Stroke 2004 Three Wheel (Used),Car,Bajaj,2 Stroke,2004,2004,,50000,835000,Petrol,Manual,150,Registered (Used),Gampaha,Gampaha,"2026 Sep 09, 8:54 pm",riyasewana,2026-09-09T17:10:08.291561+00:00,[],True
12294717,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-12294717,Bajaj 2 Stroke 2006 Three Wheel (Used),Car,Bajaj,2 Stroke,2006,2006,,50000,960000,Petrol,Manual,150,Registered (Used),Gampaha,Gampaha,"2026 Sep 09, 9:02 pm",riyasewana,2026-09-09T17:10:09.942862+00:00,[],True
12294922,https://riyasewana.com/buy/bajaj-2-stroke-sale-gampaha-12294922,Bajaj 2 Stroke 2006 Three Wheel (Used),Car,Bajaj,2 Stroke,2006,2006,,2800,1100000,Petrol,Manual,175,Registered (Used),Gampaha,Gampaha,"2026 Sep 09, 10:13 pm",riyasewana,2026-09-09T17:10:11.597229+00:00,[],True
12294565,https://riyasewana.com/buy/bajaj-2-stroke-sale-horana-12294565,Bajaj 2 Stroke 1994 Three Wheel (Used),Car,Bajaj,2 Stroke,1994,1994,,,390000,Petrol,Manual,,Registered (Used),Horana,Horana,"2026 Sep 09, 8:24 pm",riyasewana,2026-09-09T17:10:13.268408+00:00,"[""missing_mileage""]",False
12294856,https://riyasewana.com/buy/bajaj-2-stroke-sale-kalutara-12294856,Bajaj 2 Stroke 1997 Three Wheel (Used),Car,Bajaj,2 Stroke,1997,1997,,123456,465000,Petrol,Manual,150,Registered (Used),Kalutara,Kalutara,"2026 Sep 09, 9:45 pm",riyasewana,2026-09-09T17:10:14.919506+00:00,"[""suspicious_mileage_pattern""]",False
12294863,https://riyasewana.com/buy/bajaj-2-stroke-sale-kalutara-12294863,Bajaj 2 Stroke 2005 Three Wheel (Used),Car,Bajaj,2 Stroke,2005,2005,,123456,840000,Petrol,Manual,150,Registered (Used),Kalutara,Kalutara,"2026 Sep 09, 9:48 pm",riyasewana,2026-09-09T17:10:16.575116+00:00,"[""suspicious_mileage_pattern""]",False
12294992,https://riyasewana.com/buy/bajaj-2-stroke-sale-kalutara-12294992,Bajaj 2 Stroke 1998 Three Wheel (Used),Car,Bajaj,2 Stroke,1998,1998,,0,565000,Petrol,Manual,,Registered (Used),Kalutara,Kalutara,"2026 Sep 09, 10:39 pm",riyasewana,2026-09-09T17:10:18.232392+00:00,"[""suspicious_mileage_pattern""]",False
12294781,https://riyasewana.com/buy/bajaj-2-stroke-sale-kandy-12294781,Bajaj 2 Stroke 2008 Three Wheel (Used),Car,Bajaj,2 Stroke,2008,2008,,1,,Petrol,Manual,,Registered (Used),Kandy,Kandy,"2026 Sep 09, 9:19 pm",riyasewana,2026-09-09T17:10:19.882638+00:00,"[""missing_price""]",False
12294835,https://riyasewana.com/buy/bajaj-2-stroke-sale-kandy-12294835,Bajaj 2 Stroke 2003 Three Wheel (Used),Car,Bajaj,2 Stroke,2003,2003,,60000,785000,Petrol,Manual,150,Registered (Used),Kandy,Kandy,"2026 Sep 09, 9:36 pm",riyasewana,2026-09-09T17:10:21.561832+00:00,[],True
